Id,Salutation,FirstName,LastName,Title,Email,Phone,Fax,HomePhone,MobilePhone,Birthdate,Department,AssistantName,AssistantPhone,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry
0036g00002eFatcAAC,,Wes,Chopra,Manager Information Technology,wes.chopra@greendotmedia.com,(847) 402-1753,,,(310) 555-0191,4/18/45,,,,,Sedgwick,,,United States
0036g00002eFatfAAC,Mr.,Jeff,Blay,VP Sales,contact+jeffblay@sdo.mygbiz.com,(487) 555-0100,(487) 555-0199,(487) 756-1793,(487) 555-0188,9/6/29,Sales,,,1678 50th Ave,Alameda,CA,94601,United States
0036g00002eFatkAAC,Mrs.,Sarah,Jeffries,SVP Marketing,contact+sarahjeffries@sdo.mygbiz.com,(296) 555-0100,(296) 555-0199,(296) 276-9024,(296) 555-0188,6/11/75,Marketing,,,5815 Fairview Pl N,King,WA,98109,United States
0036g00002eFauIAAS,Ms.,Sandy,Knudson,Sales Exec,contact+sandyknudson@sdo.mygbiz.com,(624) 555-0100,(624) 555-0199,(624) 865-7797,(624) 555-0188,3/15/79,Sales,,,17753 Gothard St,Orange,CA,92647,United States
0036g00002gRBqGAAW,Mr.,Tim,Miles,Technical Architect,tdog@supergbiz.com,(978) 555-1212,,(617) 555-1212,(978) 555-2121,7/21/66,Sales,,,6039 E Meridian,Indianapolis,IN,46387,United States
0036g00002eFaXhAAK,Mr.,Jeff,Kane,Director-Accounting,contact+jeffkane@sdo.mygbiz.com,(385) 555-0100,(385) 555-0199,(385) 218-7039,(385) 555-0188,12/6/51,Finance,,,178 San Jose Ave,Santa Clara,CA,95125,United States
0036g00002eFaXiAAK,Mr.,Steve,Mcdonald,Chief Information Officer,contact+stevemcdonald@sdo.mygbiz.com,(631) 555-0100,(631) 555-0199,(631) 570-1324,(631) 555-0188,12/10/52,C-Level,,,178 San Jose Ave,Santa Clara,CA,95125,United States
0036g00002eFaXkAAK,Ms.,Kathy,Fitzpatrick,Director-Human Resources,contact+kathyfitzpatrick@sdo.mygbiz.com,(231) 555-0100,(231) 555-0199,(231) 277-8689,(231) 555-0188,11/23/31,HR,,,178 San Jose Ave,Santa Clara,CA,95125,United States
0036g00002eFaXlAAK,Mr.,Keith,Lopez,Marketing Manager,contact+keithlopez@sdo.mygbiz.com,(528) 555-0100,(528) 555-0199,(528) 389-6767,(528) 555-0188,9/26/46,Marketing,,,178 San Jose Ave,Santa Clara,CA,95125,United States
0036g00002eFaXnAAK,,Jason,Brennaman,Information Technology,jason.brennaman@greendotmedia.com,(847) 402-1754,,,(310) 555-0192,2/21/39,,,,,Sedgwick,,,United States
0036g00002eFaXoAAK,Ms.,Lisa,Jones,VP Operations,contact+lisajones@sdo.mygbiz.com,(904) 555-0100,(904) 555-0199,(904) 300-7149,(904) 555-0188,6/28/57,Operations,,,47 S Galapago St,Denver,CO,80223,United States
0036g00002eFaXqAAK,Ms.,Susan,Johanson,VP of Operations,contact+susanjohanson@sdo.mygbiz.com,(390) 555-0100,(390) 555-0199,(390) 677-7847,(390) 555-0188,4/3/40,Operations,,,2485 Pershing Dr,San Diego,CA,92101,United States
0036g00002eFaXsAAK,Mr.,Tom,Davis,EVP Business Development,contact+tomdavis@sdo.mygbiz.com,(643) 555-0100,(643) 555-0199,(643) 788-2366,(643) 555-0188,9/27/46,Business Development,,,309 8th Ave,Santa Cruz,CA,95062,United States
0036g00002eFaXtAAK,Mr.,Ryan,Giggs,VP Consulting,contact+ryangiggs@sdo.mygbiz.com,(266) 555-0100,(266) 555-0199,(266) 353-8304,(266) 555-0188,8/25/70,Consulting,,,405 S Stricker St,Baltimore (city),MD,21223,United States
0036g00002eFaXvAAK,Mrs.,Rachel,Morris,SVP Marketing,contact+rachelmorris@sdo.mygbiz.com,(611) 555-0100,(611) 555-0199,(611) 591-6298,(611) 555-0188,8/25/59,Marketing,,,4090 Utah St,San Diego,CA,92104,United States
0036g00002eFaXyAAK,Mr.,Arthur,Song,CEO,arthursong@sdo.mygbiz.com,(772) 555-0100,(772) 555-0199,(772) 504-0721,(772) 555-0188,8/14/49,C-Level,,,3418 Poplar Ave,Shelby,TN,38111,United States
